Counterpart Reference,Counterpart Name,IBAN Code,Booking Date,Value Date,Debit,Credit,Currency,Description,Internal Transaction Reference,External Transaction Reference,Prepared Date,Disclaimer
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,13/01/2017,12/01/2017,,"2,760.00",USD,MARGE CACEIS d riv s list s Du 12/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,13/01/2017,12/01/2017,"2,760.00",,USD,MARGE CACEIS d riv s list s Du 12/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,13/01/2017,13/01/2017,"2,880.00",,USD,MARGE CACEIS d riv s list s Du 13/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,13/01/2017,13/01/2017,,"3,800.00",USD,"241-DIVIDEND Our Ref : AN8068571086 1612/ /COUP/1/ 7,600 SCHLUMBERGER for securities account LX003111651 Ex Date : 05/12/2016 Unit price : 0.50000000 USD Gross : 3,800.00 USD Tax : 0",FR11193851002,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,17/01/2017,17/01/2017,,"3,640.00",USD,MARGE CACEIS d riv s list s Du 16/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,18/01/2017,18/01/2017,"3,920.00",,USD,MARGE CACEIS d riv s list s Du 18/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,19/01/2017,19/01/2017,,"1,560.00",USD,MARGE CACEIS d riv s list s Du 19/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,20/01/2017,20/01/2017,"2,000.00",,USD,MARGE CACEIS d riv s list s Du 20/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,13/01/2017,12/01/2017,,30.60,EUR,DEPOSIT CACEIS d riv s list s Du 12/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,13/01/2017,12/01/2017,480.00,,EUR,MARGE CACEIS d riv s list s Du 12/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,13/01/2017,12/01/2017,,480.00,EUR,MARGE CACEIS d riv s list s Du 12/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,13/01/2017,12/01/2017,30.60,,EUR,DEPOSIT CACEIS d riv s list s Du 12/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,13/01/2017,13/01/2017,,153.10,EUR,DEPOSIT CACEIS d riv s list s Du 13/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,13/01/2017,13/01/2017,"2,400.00",,EUR,MARGE CACEIS d riv s list s Du 13/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,16/01/2017,16/01/2017,,"3,385.67",EUR,"241-COUPON PAYMENT Our Ref : DE000A0Q4R02 1701/ /COUP/1/ 14,800 ISHARES STX UTILIT for securities account LX003111651 Ex Date : 16/01/2017 Unit price : 0.22876200 EUR Gross : 3,385.67 EUR Tax : 0",FR11178368004,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,16/01/2017,16/01/2017,260.20,,EUR,DEPOSIT CACEIS d riv s list s Du 16/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,16/01/2017,16/01/2017,,"4,080.00",EUR,MARGE CACEIS d riv s list s Du 16/01/2017 .,,,23/01/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,17/01/2017,17/01/2017,10.00,,EUR,commissions de courtage,,,23/01/2017,
