Counterpart Reference,Counterpart Name,IBAN Code,Booking Date,Value Date,Debit,Credit,Currency,Description,Internal Transaction Reference,External Transaction Reference,Prepared Date,Disclaimer
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,23/06/2015,23/06/2015,"159,936.69",,GBP,"231-PURCH 35,000 BT GROUP Your Ref : YMIDL32BGJFI00A Our Ref : 2705100049397856 GB0030913577 BT GROUP for securities account LX003111651 Trade Date : 19/06/2015 Unit price : 4.5455 GBP",49397856,YMIDL32BGJFI00A,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,23/06/2015,23/06/2015,,"315,000.00",GBP,"331-WGS000030845820-BOM- SPOT FOREIGN EXCHANGE : your purchase of GBP 315,000.00 against USD 500,661.00 at the rate of USD/GBP 1.58940000 Transaction date : 19/06/2015 Value date : 23/06/2015",WGS030845820,WGSVDWNXY,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,23/06/2015,23/06/2015,"157,790.63",,GBP,"231-PURCH 34,500 BT GROUP Your Ref : YMIDL32BGGQI00A Our Ref : 2705100049397847 GB0030913577 BT GROUP for securities account LX003111651 Trade Date : 19/06/2015 Unit price : 4.5495 GBP",49397847,YMIDL32BGGQI00A,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,26/06/2015,26/06/2015,,"5,000.00",GBP,"331-WGS000030877686-BOM- SPOT FOREIGN EXCHANGE : your purchase of GBP 5,000.00 against EUR 7,031.36 at the rate of GBP/EUR 0.71110000 Transaction date : 26/06/2015 Value date : 26/06/2015",WGS030877686,WGSVDZCXC,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,30/06/2015,01/07/2015,0.69,,GBP,Interest statement Period from 01/06/2015 to 30/06/2015 Credit interest : 0.00 GBP Debit interest : 0.69 GBP Credit int adjustment : 0.00 GBP Debit int adjustment : 0.00 GBP,WGSIN01LVPKPAY,WGS01LVPK,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,27/07/2015,27/07/2015,,"166,110.15",GBP,"232-SALE 14,550 SKY Your Ref : YMIDL35NDVX500 Our Ref : 2705100050750139 GB0001411924 SKY for securities account LX003111651 Trade Date : 23/07/2015 Unit price : 11.42 GBP",50750139,YMIDL35NDVX500,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,07/09/2015,07/09/2015,,"5,907.50",GBP,"241-DIVIDEND Our Ref : GB0030913577 1508/ /COUP/1/ 69,500 BT GROUP for securities account LX003111651 Ex Date : 13/08/2015 Unit price : 0.08500000 GBP Gross : 5,907.50 GBP Tax : 0",FR09349753002,,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,18/09/2015,18/09/2015,,"5,751.94",GBP,"241-DIVIDEND Our Ref : GB0007980591 1508/ /COUP/3/ 87,832 BP for securities account LX003111651 Ex Date : 06/08/2015 Unit price : 0.06548800 GBP Gross : 5,751.94 GBP Tax : 0",FR09400947002,,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,25/09/2015,25/09/2015,,"2,278.59",GBP,"241-DIVIDEND Our Ref : GB00B24CGK77 1508/ /COUP/1/ 4,530 RECKITT BENCKISER for securities account LX003111651 Ex Date : 13/08/2015 Unit price : 0.50300000 GBP Gross : 2,278.59 GBP Tax : 0",FR09426181002,,13/06/2016,
31116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,29/09/2015,29/09/2015,,"18,538.81",GBP,"241-DIVIDEND Our Ref : GB0000566504 1509/ /COUP/1/ 46,054 BHP BILLITON for securities account LX003111651 Ex Date : 10/09/2015 Unit price : 0.40254511 GBP Gross : 18,538.81 GBP Tax : 0",FR09429655002,,13/06/2016,
